Classes,,Credits
AAA1,New Student Orientation,0
AGR102,Introduction to Agriculture,3
AGR105,Range Management,3
AGR109,Intro to Agriculture Lab,1
AGR121,Industrial Hemp Production,3
AGR135,Introduction to Crop Science,3
AGR204,Principles of Irrigation,3
AGR205,Landscape Plants for the SW,3
AGR208,Animal Science,3
AGR214,Soil Science,4
AGR230,Feeds and Feeding,3
AGR235,Introduction to Entomology,4
AGR237,Equine Science and Management,4
AGR243,Livestock Production & Mgmt.,3
AGR255,Agriculture and the Environmnt,3
AJS101,Intro to Admin of Justice,3
AJS109,Substantive Criminal Law,3
AJS126,Ethics and Criminal Justice,3
AJS224,Field Experience in AJS,1
AJS225,Criminology,3
AJS230,The Police Function,3
AJS240,The Correction Function,3
AJS275,Criminal Investigations,3
AMT210,UAS Fundamentals,6
AMT212,UAS Mechanical Maintenance,14
ANT101,"Bones,
ANT,101,Bones",4:30 PM
ANT102,Society and Culture,3
ANT110,Exploring Archaeology,3
ANT235,Principles of Archaeology,3
ANT286,Historic Native People of N.A.,3
ANT287,Archaeology of the Southwest,3
ART103,Two Dimensional Design/Comp,3
ART106,Drawing Foundations,3
ART107,"Sur of World Art,
ART,108,Sur of World Art:Renaissance,3
ART,120,Appreciation of Visual Arts,3
ART,130,Paint for Personal Develop I,2
ART,216,Intermediate Drawing,3
ART,217,Advanced Drawing,3
ART,231,Three Dimensional Design/Sculp,3
ART,245,Figure Drawing,3
ART,270,Ceramics I,3
ART,273,Ceramics IIA,3
ART,274,Ceramics IIB,3
ART,275A,Ceramics III,3
ART,280,Painting Foundations,3
ART,281,Intermediate Painting,3
ART,282,Advanced Painting,3
ART,285,Beginning Photography,3
ART,286,Intermediate Photography,3
ART,290,Sculpture I,3
ART,292,Advanced Topics in Art,0.5
ART,292,Advanced Topics in Art-Mural,0.5
ASL,101,American Sign Language I,4
ASL,102,American Sign Language II,4
ASL,201,American Sign Language III,4
ASL,202,American Sign Language IV,4
AST,180,Introduction to Astronomy,4
AUT,101,Intro to Automotive Technology,3
AUT,102,Automotive Elect. Fundamentals,3
AUT,103,Internal Combustion Engines,3
AUT,104,Automotive Brake Systems,3
AUT,105,Automotive Suspension/Steering,3
AUT,106,Automotive Manual Drive System,3
AUT,112,Light Veh Diesel Engine Repair,3
AUT,116,Lt Veh Diesel Intk & Exh Sys,3
AUT,201,Automotive Elect. Sys/Equip,3
AUT,204,Auto Transmiss/axle Diag/Rebld,3
AUT,205,Auto Heating/Ventilation/AC,3
AUT,206,Engine Performance,3
AUT,220,Lt Veh Diesel Sys & Comp Ctrls,3
AVT,211,UAS Avionics,7
BCT,102,Carpentry Fundamentals,4
BCT,109,Construction Safety,3
BCT,113,Concrete,3
BCT,114,Wall Coverings,3
BCT,115,Exterior Finishing,3
BCT,116,Roofing,3
BCT,117,Floor Covering,4
BCT,118,Doors",12:45 PM
BCT122,HVAC I,4
BCT127,Blueprint Reading/Estimating,3
BCT201,Carpentry Framing & Finishing,4
BCT222,HVAC II,4
BCT223,HVAC III,4
BCT225,HVAC IV,4
BIO100,General Biology (non-majors),4
BIO105,Environmental Biology,4
BIO156,Intro Biology Allied Health,4
BIO160,Intro to Human A&P,4
BIO181,General Biology I (for majors),4
BIO182,General Biology II,4
BIO192,Spec Topics & Apps in Biology,1
BIO201,Human Anat & Phys I,4
BIO202,Human Anat & Phys II,4
BIO205,Microbiology,4
BIO226,Ecology,4
BUS104,Business Math,3
BUS109,Survey of Business,3
BUS123,Human Resource Management,3
BUS143,Principles of Management,3
BUS145,Principles of Marketing,3
BUS146,Introduction to Accounting,3
BUS160,Ess Workplace Success Skills,3
BUS167,Business Communications,3
BUS172,Quantitative Methods in Bus,3
BUS183,Starting a Business,3
BUS201,Financial Accounting,3
BUS202,Managerial Accounting,3
BUS219,Business Statistics,3
BUS224,Field Exp in Business Admin,1
BUS233,Legal Environment of Business,3
BUS245,Sem: Trends/Pract in Business,3
BUS251,Federal Income Taxation,3
BUS253,Tax Practice and Procedure,3
BUS283,Small Business Management,3
BUS285,Electronic Commerce,3
CHM130,Fundamental Chemistry,4
CHM151,General Chemistry I,4
CHM152,General Chemistry II,4
CHM235,General Organic Chemistry I,4
CHM236,General Organic Chemistry II,4
CIS116,Computer Essentials,3
CIS120,Intro to Information Systems,3
CIS128,Linux Operating System,4
CIS129,Intro to Programming Logic,1
CIS130,Programming Logic,3
CIS140,Intro to Operating Systems,3
CIS150,Essentials of Networking,3
CIS160,Intro to Information Security,3
CIS161,Network Security,4
CIS164,Intro Scripting Using Python,4
CIS179,Applied Technical Writing,3
CIS181,Computer Applications,3
CIS185,Internet Essentials,3
CIS204,C Programming,4
CIS206,Assembler with Architecture,4
CIS208,Java Programming,4
CIS217,Intro to Visual C#.NET Program,4
CIS220C,Data Structures-C,4
CIS220J,Data Structures-Java,4
CIS221,Digital Logic,3
CIS229,Linux System Administration,4
CIS236,Microsoft Wrkstation Op Systms,4
CIS245,Microsoft Server Active Direct,4
CIS250,Database Management,4
CIS255,Microsoft PowerShell Scripting,4
CIS259,Adv Linux Systems Admin,4
CIS260,Service & Maintenance of PCs,4
CIS262,Network Support & Trblshooting,4
CIS263,Network Defense,4
CIS267,Mobile Security,3
CIS268,Technical Presentations,3
CIS270,Systems Analysis,4
CIS275,Computer Forensics,4
CIS281,Advanced Computer Applications,3
CIS287,World Wide Web Development,3
CIS291,Pract Apps in Cybersecurity,4
CIS294,Field Exp in Computer Info Sys,1
CLD110,AWS Cloud Foundations,3
COM102,Essentials of Communication,3
COM110,Public Speaking,3
COM204,Elements of Intercultural Comm,3
CPD150,Connections for Success,3
CUL105,Nutrition in Food Service,3
CUL115,Food Service Sanitation,2
CUL116,Essential Culinary Skills I,2
CUL117,Essential Culinary Skills II,3
CUL204,Food Service Purchasing& Contr,3
CUL222,Adv Confections & Pastries I,3
CUL223,Adv Confections & Pastries II,3
CUL224,Field Exp in Culinary Arts,1
CUL242,Dining Service Management,3
CUL280,Adv Tech Gourmet Food Prep I,3
CUL281,Adv Tech Gourmet Food Prep II,3
CYB101,Introduction to Cybersecurity,3
CYB102,Networking Foundations,3
CYB103,Basic Operating Systems,3
CYB110,Intermediate Operating Systems,4
CYB125,Intro Scripting Cybersecurity,4
CYB201,Cybersecurity for Networking,4
CYB210,Scripting for Cybersecurity,4
CYB220,Digital Forensics/Incident Rsp,4
CYB260,Intro to Cloud Technologies,4
CYB275,Applied Cyber Operations,4
CYB290,Operational Cybersecurity,5
DFT150,Fundamentals of AutoCAD,3
DFT250,Advanced AutoCAD,4
DFT270,AutoCAD 3D,4
DMA110,Digital Imaging I,3
DMA111,Computer Animation I,3
DMA198A,Essentials Digital Media Arts,3
DMA210,Digital Imaging II,3
DMA260,Graphic Design I,3
DMA262,Digital Video Production,3
DMA263,Digital Video Production II,3
DMA266,Digital Photography,3
ECE150,Intro Early Childhd Care & Ed,3
ECE152,Observation/Behavior/Guidance,3
ECE155,Children's Language Dev,3
ECE156,Children's Lit & Literacy,3
ECE158,"Hth,
ECE,160,Early Childhood Growth & Dev,3
ECE,161,Understanding Fam/Commun/Diver,3
ECE,170,Curr Dev Early Childhood Edu,3
ECE,172,Teach Strat Early Childhood Ed,3
ECE,173,Admin of ECE Programs,3
ECN,201,Principles of Macroeconomics,3
ECN,202,Principles of Microeconomics,3
EDU,201,Introduction to Education,3
EDU,205,Theoreticl Dynamics of Instruc,3
EDU,222,Intro to Special Education,3
EDU,224,Field Experience in Education,1
EDU,226,Cultural Diversity-Education,3
EDU,230,Classroom Relationships,3
EDU,25,ASVAB Prep and Improvement,2
EDU,298D,College Instruction,3
EGR,102,Principles of Engineering,3
EGR,122,Prog for Engineering & Science,4
ELT,110,Mathematics for Electronics,3
EMT,174,Emergency Medical Technician,8
EMT,174,Emergency Medical Technician,9
ENG,101,Composition,3
ENG,102,English Composition,3
ENG,119,Creative Writing,3
ENG,219,Advanced Creative Writing,3
ENG,220,British Literature I,3
ENG,221,British Literature II,3
ENG,224,American Literature I,3
ENG,225,American Literature II,3
ENG,228,Mythology and Folklore,3
ENG,257,Lit Magazine Prod & Design,3
ENG,260,Irish Literature,3
ENG,95,Basic Writing,3
ENG,96,Intermediate Writing,3
ESL,10,ESL Grammar I,3
ESL,12,ESL Reading I,3
ESL,14,ESL Writing I,3
ESL,16,ESL Oral Communication I,3
ESL,20,ESL Grammar II,3
ESL,22,ESL Reading II,3
ESL,24,ESL Writing II,3
ESL,26,ESL Oral Communication II,3
ESL,30,ESL Grammar III,3
ESL,32,ESL Reading III,3
ESL,34,ESL Writing III,3
ESL,36,ESL Oral Communication III,3
ESL,40,ESL Grammar IV,3
ESL,46,ESL Oral Communication IV,3
ESL,49,ESL Transitions,3
FON,201,Applied Nutrition,3
FST,107,Intro Fire & Emergency Service,4
FST,108,Fire Operations I,4
FST,109,Fire Operations II,4
FST,115,Fire Service App Driver/Op,3
FST,198F,Wildland Fire,1
FST,224,Field Exp in Fire Science Tech,1
GEO,101,Physical Geography,4
GEO,121,World Regional Geography,3
GLG,101,Intro to Geology I Physical,4
GLG,102,Intro to Geology II Historical,4
GOO,101,Google IT Support Professional,3
GTC,105,Mfg Materials/Processes I,3
HIS,110,History of the U.S. 1607-1877,3
HIS,111,History of the U.S. since 1877,3
HIS,229,History of Mexico I,3
HIS,230,History of Mexico II,3
HIS,243,Western Civilization I,3
HIS,244,Western Civilization II,3
HLT,100,Health Technology Careers,3
HLT,101,Medical Terminology,2
HLT,109L,Nursing Assistant-Lab Only,0
HLT,109,Nursing Assistant,5
HLT,111,CPR and First Aid,1
HLT,139,Medical Assistant I,8
HLT,140,Medical Assistant II,12
HLT,151,Home Health Aide I,3
HLT,152,Home Health Aide II,3
HON,101,Introduction to Honors,1
HON,250,Honors: Individual Project,1
HPE,113A,Athletic Conditioning I,2
HPE,113B,Athletic Conditioning II,2
HPE,113C,Athletic Conditioning III,2
HPE,113D,Athletic Conditioning IV,2
HPE,115,Personal Fitness I,2
HPE,117A,Individualized Fitness I,1
HPE,117B,Individualized Fitness II,2
HPE,135,Open Water Scuba Diver,3
HPE,142A,Varsity Rodeo I,1
HPE,142B,Varsity Rodeo II,1
HPE,142C,Varsity Rodeo III,1
HPE,142D,Varsity Rodeo IV,1
HPE,170A,Baseball I,1
HPE,170B,Baseball II,1
HPE,170C,Baseball III,1
HPE,170D,Baseball IV,1
HPE,171A,Men's Basketball I,1
HPE,171B,Men's Basketball II,1
HPE,171C,Men's Basketball III,1
HPE,171D,Men's Basketball IV,1
HPE,172A,Women's Basketball I,1
HPE,172B,Women's Basketball II,1
HPE,172C,Women's Basketball III,1
HPE,172D,Women's Basketball IV,1
HPE,174A,Women's Soccer I,1
HPE,174B,Women's Soccer II,1
HPE,174C,Women's Soccer III,1
HPE,174D,Women's Soccer IV,1
HPE,179,Lifelong Wellness,3
HPE,193,Theory of Coaching Baseball,3
HPE,194,Theory of Coaching Basketball,3
HPE,196,Theory of Coaching Soccer,3
HUM,101,Humanities/Contemporary Life,3
HUM,110,Introduction to Film,3
HUM,111,Introduction to Theatre Arts,3
HUM,200,Film History,3
HUM,206,Cult Stud thru Humanities II,3
IOS,100,Intro to Intel Ops Studies,3
IOS,101,Counterintel Investigations,3
IOS,102,Security Programs,3
IOS,103,Intel Law and Admin of Justice,1
IOS,104,Analytical Process and Product,3
IOS,105,Interrogation Operations,3
IOS,106,Map Reading and Analysis,3
IOS,108,Signal Theory,3
IOS,110,Remote Sensing,3
IOS,111,Info Sec for Intel Operations,1
IOS,112,Imagery Analysis Techniques,3
IOS,114,Reporting of Intelligence Data,3
IOS,115,Briefing Skills,1
IOS,116,Imagery Identification,6
IOS,117,Symbology,3
IOS,118,Intel Prep of the Battlefield,3
IOS,120,Records Management,3
IOS,121,Counterintel Investigations II,3
IOS,122,Intel",
IOS122,"Intel,TBA-FH
IOS,123,Targeting,3
IOS,124,Cellular Communication Fund,3
IOS,131,Pers ID Mehods Battle Forensic,2
IOS,201,Collection Operations,3
IOS,202,Force Protection Ops/Support,3
IOS,203,Combating Terrorism,3
IOS,204,Interrogation Interview Tech,3
IOS,209,Automated Intel Systems,4
IOS,210,Intermediate Remote Sensing,3
IOS,211,Military Decision Making,1
IOS,212,Intermed Imagery Analysis,3
IOS,214,Reporting of Intel Data II,3
IOS,215,Briefing Skills II,1
IOS,221,Counterintel Investigation III,3
IOS,223,Intel Law/Admin of Justice II,1
IOS,225,Analytical Process/Product II,3
IOS,226,Interrogation/Interview TechII,3
IOS,241,Mgt of Intel/Countintel Ops I,4
IOS,242,Mgt of Intel/Countintel Ops II,4
IOS,245,Analysis of Counterintel II,3
JRN,101,Intro to Mass Communications,3
JRN,102,Essentials of News Writing,3
JRN,224,Fld Exp Communic or Media Tech,1
LEO,200,Introduction to LE Technology,2
LEO,201,Legal Aspects of LE,3
LEO,202,Firearms Training for LE,2
LEO,203,Report Writing for LE,2
LEO,204,Physical Cond and Wellness LE,1
LEO,205,Community Relations for LE,2
LEO,206,First Aid for LE,1
LEO,207,Defensive Tactics for LE,1
LEO,208,Tactical Driving for LE,1
LEO,209,Criminal Investigations for LE,4
LEO,210,Criminal Law for LE,3
LEO,211,Patrol Procedures for LE,4
LEO,212,Traffic Procedures for LE,4
MAT,132,Applied Mathematics,3
MAT,142,College Mathematics,3
MAT,151,Precalculus Algebra,4
MAT,154,Math for Elem Ed Majors I,3
MAT,156,Math for Elem Ed Majors II,3
MAT,167,Elements of Statistics,3
MAT,182,Precalculus Trigonometry,3
MAT,212,Calculus for Business,3
MAT,220,Calculus I,5
MAT,227,Discrete Mathematics,3
MAT,231,Calculus II,4
MAT,241,Calculus III,4
MAT,252,Introduction to Linear Algebra,3
MAT,262,Differential Equations,3
MAT,81,Beginning Algebra,4
MAT,90,Precalculus Algebra Support,2
MAT,91,Intermediate Algebra,4
MUS,100,Fundamentals of Music Notation,3
MUS,109A,Orchestra II,1
MUS,109,Orchestra I,1
MUS,110A,Chorus II,1
MUS,110,Chorus I,1
MUS,111A,Band II,1
MUS,111,Band I,1
MUS,112E,String Class Instruction,1
MUS,113A,Individual Instruction - Piano,1
MUS,113E,Individual Instruction-Strings,1
MUS,113F,Individual Instruction -Guitar,1
MUS,115,Voice - Individual Instruction,1
MUS,123,American Popular Music,3
MUS,132,Music Theory I,3
MUS,133,Music Theory II,3
MUS,134,Aural Skills I,1
MUS,135,Aural Skills II,1
MUS,201G,Jazz Ensemble,1
MUS,232,Music Theory III,3
MUS,233,Music Theory IV,3
MUS,236,Repertoire Strategy,1
MUS,260,Music Fund through Experience,3
NUR,112,Introduction to Pharmacology,3
NUR,113,Practical Nursing I,8
NUR,114,Practical Nursing II,9
NUR,115,Practical Nursing III,3
NUR,120,Transition to Practical Nurse,1
NUR,121A,Medication Math I,2
NUR,121B,Medication Math II,2
NUR,122,Nursing I Fundamentals of Nur,12
NUR,123,Nursing II-A,5
NUR,124,Nursing II-B,5
NUR,130,LPN to Professional Nurse I,4
NUR,203,Update on Pharmacology,3
NUR,220,Transition: PN to RN,1
NUR,232,Nursing III,10
NUR,233,Nursing IV,10
PFT,100,Introduction to Aviation,1
PFT,101,Private Pilot Ground School,5
PFT,103,Private Pilot Review,1
PFT,105,Crew Resource Mgtment - Flight,2
PFT,111,Solo Flight Preparation,3.5
PFT,112,Cross-Country Navigation,1.5
PFT,113,Private Pilot Certification,1
PFT,121,Commercial Flight I,3
PFT,122,Aviation Weather,3
PFT,130,Commercial Pilot Ground School,5
PFT,131,Commercial Flight II,3
PFT,204,Instr. Rating Ground School,5
PFT,206,Aircraft Systems,3
PFT,210,Multiengine Rating Grnd School,1
PFT,211,Multi-Engine Rating Flight,1
PFT,214,Instrument Rating Flight I,3.5
PFT,215,Instrument Rating Flight II,1.5
PFT,217,Instrument Pilot Review,1
PFT,218,Commercial Flight III,1
PFT,220,Commercial Pilot Review,1
PFT,230,Flt Instr Fund Grnd School,3
PFT,231,Flt Instructor Airplane G S,5
PFT,235,Flight Inst - Airplane Stage I,1.5
PFT,236,Flight Inst -Airplane Stage II,1.5
PFT,240,Flt Instr Multieng Grnd School,2
PFT,241,Flt Instr Multiengine Flight,2
PFT,250,Flt Instr Instrument G S,3
PFT,251,Flt Inst Instrument Flight,3
PFT,271,UAV Operator,29
PHI,111,Intro to Western Philosophy,3
PHI,113,Introduction to Logic,3
PHI,130,Introduction to Ethics,3
PHI,201,Intro to Eastern Philosophy,3
PHY,111,General Physics I,4
PHY,112,General Physics II,4
PHY,230,Physics with Calculus I,4
PHY,231,Physics with Calculus II,4
PMD,101,Paramedicine I,6
PMD,201,Paramedicine II,7
PMD,202,Paramedicine III,7
PMD,203,Paramedicine IV,10
PMD,204,Paramedicine V,10
PMD,205,Paramedicine VI,9
PMD,206,Paramedicine VII,6
POS,110,American National Government,3
POS,220,Federal & Arizona Constitution,3
POS,221,Arizona Constitution,1
POS,230,World Politics,3
POS,240,Comparative Politics,3
PSY,101,Introduction to Psychology,3
PSY,103,Foundations of Psychology,3
PSY,210,Social Psychology,3
PSY,231,Human Sexuality,3
PSY,240,Developmental Psychology,3
PSY,250,Introduction to Statistics,4
PSY,270,Abnormal Psychology,3
PSY,290,Research Methods,3
RDG,20,Basic Reading,3
RDG,92,College Reading,3
SOC,101,Introduction to Sociology,3
SOC,160,Sociology of Race & Ethnicity,3
SOC,202,Social Problems,3
SOC,212,Sociology of Gender,3
SOC,230,Human Sexuality,3
SPA,101,Elementary Spanish I,4
SPA,102,Elementary Spanish II,4
SPA,201,Intermediate Spanish I,4
SPA,202,Intermediate Spanish II,4
THE,101,Acting I,3
THE,103,Introduction to Theatre Arts,3
THE,110,Theatre Workshop,3
THE,201,Acting II,3
THE,220,Dramatic Structure,3
UAS,121,Remote Sensing and Imagery,3
VRD,130,Virtual Reality Program Logic,3
VRD,144,Virtual Reality Dev in Unity,5
VRD,244,VR Cross-Platform App Dev,4
VRD,264,Unity Programming Stand & App,4
WLD,105,Oxyacetylene Welding,3
WLD,106,Basic Shield Metal Arc Welding,3
WLD,128,Gas Metal Arc Welding,3
WLD,203,Blueprint Interpretation,3
WLD,209,Gas Tungsten Arc Welding,3
WLD,210,Advanced Shield Metal Arc Weld,3
WLD,210,Pipe Welding I,3
WLD,211,Pipe Fitting and Welding,3
WLD,211,Pipe Welding II,3
WLD,212,Adv Shield Metal Arc Weld II,3
WLD,215,Welding Design and Fabrication,3
WLD,217,Pipe Layout and Fitting,3
WLD,218,Advanced GTAW - Soft Metals,2
WLD,218,Advanced GTAW - Soft Metals,3
WLD,219,Advanced GTAW - Hard Metals,2
WLD,219,Advanced GTAW - Hard Metals,3
WLD,220,Advanced GTAW - Exotic Metals,2
WLD,220,Advanced GTAW - Exotic Metals,3
WLD,228,Advanced Gas Metal Arc Welding,2
WLD,228,Advanced Gas Metal Arc Welding,3
WLD,229,Adv Flux-Cored Arc Welding,2
WLD,229,Adv Flux-Cored Arc Welding,3
",
